Name,Team,Pos,ADP,GP,G,A,PTS,+/-,PIM,PPG,PPA,PPP,GWG,SOG,FOW,FOL,HIT,BLK,W,L,GA,GAA,SV,SV%,SO
Mattias Ekholm,NSH,D,150.5,73,10,27,37,16,22,2,6,8,2,181,0,0,41,80,,,,,,,
Rasmus Dahlin,BUF,D,151.3,82,7,32,39,-20,32,3,17,20,3,164,0,0,114,67,,,,,,,
Vincent Trocheck,CAR,C,154.2,71,22,36,58,-7,44,8,13,21,2,182,468,0,150,43,,,,,,,
Kaapo Kahkonen,MIN,G,155,33,,,,,,,,,,,,,,,18,11,78,2.44,769,0.908,2
Erik Karlsson,SJS,D,156.1,74,10,26,36,-16,26,4,11,15,2,163,0,0,32,99,,,,,,,
Jakub Voracek,CBJ,LW/RW,156.3,75,13,46,59,-8,22,3,12,15,3,147,7,0,23,28,,,,,,,
Alexandar Georgiev,NYR,G,156.5,29,,,,,,,,,,,,,,,14,11,82,2.93,815,0.909,3
Claude Giroux,PHI,C/LW,156.9,77,21,40,61,5,24,3,17,20,4,185,540,0,45,12,,,,,,,
Matt Grzelcyk,BOS,D,157,69,8,26,34,13,34,2,10,12,1,141,0,0,42,64,,,,,,,
Jake Oettinger,DAL,G,157.7,49,,,,,,,,,,,,,,,26,17,108,2.27,1215,0.918,3
Anders Lee,NYI,LW,157.8,80,30,23,53,10,50,8,6,14,6,228,113,0,113,45,,,,,,,
Rasmus Ristolainen,PHI,D,158,77,6,25,31,-24,41,1,11,12,0,126,0,0,279,104,,,,,,,
Zach Whitecloud,VGK,D,158,77,3,17,20,14,36,0,0,0,1,79,0,0,123,111,,,,,,,
Tyler Toffoli,MON,LW/RW,158.1,76,31,23,54,2,26,9,5,14,6,228,18,0,92,18,,,,,,,
Radko Gudas,FLA,D,158.3,75,3,14,17,10,42,0,0,0,1,117,0,0,311,100,,,,,,,
Adam Pelech,NYI,D,158.9,78,5,15,20,19,20,0,0,0,0,113,0,0,106,111,,,,,,,
Jonathan Bernier,NJD,G,159,34,,,,,,,,,,,,,,,17,11,89,2.7,924,0.912,1
Anthony Mantha,WSH,LW/RW,159.2,77,23,23,46,2,32,6,4,10,3,201,20,0,72,37,,,,,,,
Mason Appleton,SEA,C/RW,159.2,75,14,16,30,9,18,0,0,0,1,111,6,0,74,28,,,,,,,
Braden Holtby,DAL,G,159.7,4,,,,,,,,,,,,,,,2,1,12,2.95,99,0.892,0
Jake Muzzin,TOR,D,159.9,78,6,32,38,19,36,1,3,4,1,137,0,0,152,140,,,,,,,
Brandon Tanev,SEA,LW/RW,160,71,13,18,31,8,33,0,0,0,1,112,4,0,285,71,,,,,,,
James van Riemsdyk,PHI,LW,160.1,72,22,29,51,3,16,11,5,16,3,171,9,0,46,21,,,,,,,
Brian Dumoulin,PIT,D,160.1,70,5,18,23,20,16,0,1,1,0,87,0,0,110,96,,,,,,,
Ryan Pulock,NYI,D,160.2,75,10,26,36,12,18,3,6,9,3,166,0,0,129,144,,,,,,,
Joel Edmundson,MON,D,160.2,69,4,13,17,21,36,0,0,0,0,98,0,0,124,96,,,,,,,
Jamie Oleksiak,SEA,D,160.2,75,7,11,18,-3,37,0,0,0,2,105,0,0,192,105,,,,,,,
Chris Krieder,NYR,LW,160.3,75,26,23,49,8,44,9,5,14,4,162,37,0,163,51,,,,,,,
Tyler Bertuzzi,DET,LW/RW,160.5,73,23,29,52,4,38,7,9,16,4,139,7,0,84,31,,,,,,,
Craig Smith,BOS,RW,160.6,75,18,20,38,19,22,5,3,8,3,183,13,0,85,15,,,,,,,
Nazem Kadri,COL,C,160.6,74,16,28,44,-4,52,4,9,13,3,198,396,0,57,22,,,,,,,
Kasperi Kapanen,PIT,LW/RW,160.6,70,18,31,49,13,14,2,4,6,3,122,1,0,73,16,,,,,,,
Nico Hischier,NJD,C,160.7,73,22,31,53,-10,26,5,8,13,3,193,521,0,48,58,,,,,,,
Yanni Gourde,SEA,C/RW,160.7,61,18,27,45,6,37,4,4,8,4,121,198,0,59,22,,,,,,,
Alex Wennberg,SEA,C/LW,160.7,77,20,24,44,5,14,3,5,8,3,135,374,0,38,47,,,,,,,
Joonas Donskoi,SEA,LW/RW,160.8,75,23,23,46,13,18,6,4,10,3,131,12,0,23,38,,,,,,,
Anton Khudobin,DAL,G,161.2,31,,,,,,,,,,,,,,,17,11,71,2.38,758,0.914,2
Nils Hoglander,VAN,LW/RW,161.3,82,22,24,46,-2,24,3,3,6,3,177,1,0,38,28,,,,,,,
Ryan Suter,DAL,D,161.5,79,6,30,36,8,36,1,7,8,2,118,0,0,58,96,,,,,,,
Jack Roslovic,CBJ,C/RW,161.6,75,17,29,46,-8,18,5,7,12,2,123,193,0,52,30,,,,,,,
Jordan Eberle,SEA,RW,161.8,79,23,27,50,7,18,4,7,11,3,186,4,0,44,32,,,,,,,
Mikko Koskinen,EDM,G,161.8,37,,,,,,,,,,,,,,,17,12,93,2.75,951,0.911,2
Jared McCann,SEA,C/LW,162.2,71,22,28,50,12,14,6,5,11,4,154,132,0,73,31,,,,,,,
Keith Yandle,PHI,D,162.3,82,8,39,47,-11,37,3,23,26,2,178,0,0,28,48,,,,,,,
Brian Elliott,TBL,G,162.3,21,,,,,,,,,,,,,,,12,7,33,1.58,329,0.909,2
Justin Schultz,WSH,D,162.7,63,4,29,33,10,14,1,11,12,1,97,0,0,42,69,,,,,,,
